year,country,iso,trade,exports,imports,ggfce,gfcf,industry,manufact,unempl,agriculture,rgdp_growth,infl_cpi,oil,gold,copper,sp500
2012,Bangladesh,BGD,48.1109227476789,20.1615888634893,27.9493338841896,5.03934251843094,28.2623350089151,25.309959389543,15.9142206705617,4.079999923706054,16.1775631728154,6.521458780594425,6.217504220693004,95.31152279,1515.330288,7226.988911,1677.16
2013,Bangladesh,BGD,46.2964027239758,19.5378741103687,26.7585286136071,5.11613164205746,28.3896207543569,26.307070164309,16.4420194734025,4.42999982833862,15.4932779979784,6.013605658217092,7.530406409131274,94.87940373,1286.720999,6684.108843,1879.08
2014,Bangladesh,BGD,44.5140801968096,18.9896599950107,25.5244202017989,5.33752075651661,28.5778757115563,26.3110467833576,16.6127076619157,4.403333187103271,15.3516208986344,6.061059359039622,6.9916388922086625,88.92742601,1169.476277,6342.227603,2277.18
2015,Bangladesh,BGD,42.0859963070382,17.3366737865485,24.7493225204896,5.40424038147983,28.886689247008,26.8313948329541,16.7886735625088,4.37666654586792,14.7829964369364,6.552639878692568,6.194280229849913,51.86371799,1186.069383,5631.076427,2536.63
2016,Bangladesh,BGD,31.3341501346142,13.9212044814459,17.4129456531683,5.86529831496558,30.2397639179985,31.0691513830358,20.3479480962979,4.34999990463257,13.4647923176039,7.113478213272328,5.513525726930024,45.52832222,1328.235473,5176.761037,2367.08
2017,Bangladesh,BGD,29.9997306724343,12.8197468906003,17.179983781834,6.02233215987973,30.9468731155675,31.2482919641603,20.0750615064997,4.36999988555908,12.9572760433733,6.5902499979402895,5.702070157172234,54.25841395,1292.172443,6339.762495,2738.47
2018,Bangladesh,BGD,32.5146317240884,12.6747879443391,19.8398437797492,5.95916693091491,31.8225747704431,31.9828135899766,20.8022959266315,4.36999988555908,12.4800771856196,7.319412630141686,5.5436213948645285,67.15239138,1247.033262,6415.619786,3289.86
2019,Bangladesh,BGD,31.5780544912404,13.0947573353039,18.4832971559365,6.2381894055709,32.2137331126266,32.8525491977868,21.2079438820896,4.36999988555908,11.9753231358984,7.8819151511770436,5.591996399306431,61.72971534,1399.805003,6041.681228,3027.78
2020,Bangladesh,BGD,26.2714465475855,10.442787732227,15.8286588153584,5.97120710355359,31.3079371998374,32.9115608902719,20.598330941206,4.36999988555908,11.9996864817656,3.448021454827588,5.691074747461999,41.67893282,1788.324734,6236.792034,3714.39
2021,Bangladesh,BGD,27.7240047036631,10.6627789004134,17.0612258032497,5.88274868783073,31.0187387357172,33.3160943869001,21.2356729879977,4.36999988555908,11.6328584271282,6.938675089101665,5.545654307735215,68.67853022,1789.41497,9264.169006,4239.2
1995,Bélgica,BEL,116.378567821327,60.1143717180605,56.2641961032662,21.2989651245599,21.2317407409695,26.0458142488138,18.3362938983539,9.34000015258789,1.30662347836539,2.384757279612404,1.4679669909026138,18.69378419,417.9329987,3193.651713,904.8
1996,Bélgica,BEL,119.212775757383,61.1923909558718,58.0203848015116,21.7183862211024,21.1846630058459,25.8108864229345,18.1680558465722,9.47999954223633,1.32831141025288,1.321450930413226,2.0770210735067796,22.64645904,429.9675714,2545.072356,1163.16
1997,Bélgica,BEL,125.68894005618,64.7865810804479,60.902358975732,21.1513979156766,21.8542937017378,26.109865395814,18.3994306151454,8.94999980926514,1.34082101190755,3.7936576295017232,1.6281604951295936,22.31211275,385.3440666,2649.802377,1407.69
1998,Bélgica,BEL,124.709122626318,64.1743450154283,60.5347776108893,21.0949180608347,21.7804884968778,25.5706853726919,18.1592339218945,9.31999969482422,1.25567547258707,1.9618082719842889,0.9492502883506226,15.89910408,357.9864969,2012.948297,1742.49
1999,Bélgica,BEL,125.169990540949,64.5630595160862,60.6069310248626,21.2820398534755,22.1665354285214,24.7258443400042,17.3070923074637,8.64999961853027,1.07623533062933,3.5427434636306376,1.1208482341784842,22.42347394,345.9033778,1951.648771,2221.61
